inv_no,inv_date,clientID,amt_billed,paid_date,amt_paid,taxes_pd
1,2006-10-06,CLIENT_C,1085,2006-10-24,1085,Q4/06
2,2006-11-05,CLIENT_C,1167,2006-12-12,1167,Q4/06
3,2006-12-10,CLIENT_H,900,2007-03-10,900,Q1/07
4,2007-01-12,CLIENT_C,1140,2007-03-26,1140,Q1/07
5,2007-02-23,CLIENT_D,520,2007-04-16,520,Q2/07
6,2007-03-02,CLIENT_D,415,2007-04-23,415,Q2/07
7,2007-03-09,CLIENT_D,275,2007-05-01,275,Q2/07
8,2007-03-06,CLIENT_C,1900,2007-06-02,1900,Q2/07
9,2007-03-09,CLIENT_C,900,2007-05-07,900,Q2/07
10,2007-03-16,CLIENT_D,275,2007-05-08,275,Q2/07
11,2007-03-23,CLIENT_L,275,2007-05-15,275,Q2/07
12,2007-03-30,CLIENT_D,175,2007-05-21,175,Q2/07
13,2007-04-02,CLIENT_J,2628,2007-04-16,2628,Q2/07
14,2007-04-20,CLIENT_C,1218,2007-06-02,1218,Q2/07
15,2007-04-30,CLIENT_A,875,2007-05-25,875,Q2/07
16,2007-05-16,CLIENT_J,2420,2007-05-29,2420,Q2/07
17,2007-06-20,CLIENT_E,700,2007-09-10,700,Q4/07
18,2007-07-16,CLIENT_H,3875,2007-07-23,3875,Q3/07
19,2007-08-01,CLIENT_A,875,2007-08-13,875,Q3/07
20,2007-09-27,CLIENT_J,2420,2007-09-10,2420,Q4/07
21,2007-10-15,CLIENT_A,875,2007-09-14,875,Q4/07
22,2007-11-26,CLIENT_A,875,2007-10-16,875,Q4/07
23,2007-12-12,CLIENT_E,800,2008-02-08,800,Q1/08
24,2008-01-15,CLIENT_H,3100,2008-03-10,3100,Q1/08
25,2008-02-12,CLIENT_G,2770,2008-04-30,2770,Q2/08
26,2008-03-29,CLIENT_N,500,2008-07-12,500,Q3/08
27,2008-04-15,CLIENT_B,350,2008-06-27,350,Q3/08
28,2008-05-17,CLIENT_K,350,2008-08-11,350,Q3/08
29,2008-05-20,CLIENT_B,350,2008-09-12,350,Q4/08
30,2008-06-15,CLIENT_B,350,2008-10-20,350,Q4/08
31,2008-07-07,CLIENT_I,1325,2008-11-18,1325,Q4/08
32,2008-08-12,CLIENT_B,350,2008-12-19,350,Q4/08
33,2008-09-01,CLIENT_H,3155,2008-11-24,3155,Q4/08
34,2008-10-12,CLIENT_I,1500,2009-04-21,1500,Q2/09
35,2008-11-15,CLIENT_M,600,2009-03-01,600,Q2/09
36,2008-11-21,CLIENT_F,1000,2009-02-15,1000,Q2/09
37,2008-12-11,CLIENT_D,125,2009-01-21,125,Q2/09
38,2009-01-20,CLIENT_M,600,2009-03-15,600,Q2/09
39,2009-02-15,CLIENT_B,1200,2009-03-15,1200,Q2/09
40,2009-03-03,CLIENT_A,2000,2009-05-01,2000,Q2/09
41,2015-03-15,CLIENT_B,1000,2020-09-20,1000,Q3/20
42,2015-03-21,CLIENT_J,800,2020-09-20,800,Q3/20
43,2017-04-01,CLIENT_C,1200,NA,NA,NA
44,2020-09-19,CLIENT_B,900,2020-09-20,900,Q3/20
45,2020-09-19,CLIENT_M,2000,2020-09-20,2000,NA
46,2020-09-20,CLIENT_N,1000,NA,NA,NA
47,2020-09-20,CLIENT_O,900,NA,NA,NA
48,2020-09-20,CLIENT_P,1200,NA,NA,NA
49,2020-09-20,CLIENT_P,2700,NA,NA,NA
50,2020-09-20,CLIENT_M,250,NA,NA,NA
51,2020-09-20,CLIENT_P,500,NA,NA,NA
52,2020-09-21,CLIENT_O,300,NA,NA,NA
